,timestamp_str,price,volume
144,Feb 09 2015 01: +0,7.503,152
145,Feb 10 2015 01: +0,7.527,116
146,Feb 11 2015 01: +0,7.556,139
147,Feb 12 2015 01: +0,7.262,140
148,Feb 13 2015 01: +0,7.225,199
149,Feb 14 2015 01: +0,7.564,275
150,Feb 15 2015 01: +0,7.279,221
151,Feb 16 2015 01: +0,7.557,187
152,Feb 17 2015 01: +0,7.434,162
153,Feb 18 2015 01: +0,7.618,155
154,Feb 19 2015 01: +0,7.622,139
155,Feb 20 2015 01: +0,7.536,206
156,Feb 21 2015 01: +0,7.447,210
157,Feb 22 2015 01: +0,7.167,215
158,Feb 23 2015 01: +0,7.349,150
159,Feb 24 2015 01: +0,7.219,148
160,Feb 25 2015 01: +0,7.535,155
161,Feb 26 2015 01: +0,7.738,130
162,Feb 27 2015 01: +0,7.208,194
163,Feb 28 2015 01: +0,7.489,223
164,Mar 01 2015 01: +0,7.598,224
165,Mar 02 2015 01: +0,7.612,142
166,Mar 03 2015 01: +0,7.232,157
167,Mar 04 2015 01: +0,7.417,152
168,Mar 05 2015 01: +0,7.192,156
169,Mar 06 2015 01: +0,7.101,187
170,Mar 07 2015 01: +0,7.289,235
171,Mar 08 2015 01: +0,7.178,204
172,Mar 09 2015 01: +0,7.262,141
173,Mar 10 2015 01: +0,7.21,136
174,Mar 11 2015 01: +0,6.809,146
175,Mar 12 2015 01: +0,6.923,141
176,Mar 13 2015 01: +0,6.902,193
177,Mar 14 2015 01: +0,6.545,253
178,Mar 15 2015 01: +0,6.491,223
179,Mar 16 2015 01: +0,6.638,146
180,Mar 17 2015 01: +0,6.847,153
181,Mar 18 2015 01: +0,6.896,130
182,Mar 19 2015 01: +0,6.911,152
183,Mar 20 2015 01: +0,6.687,166
184,Mar 21 2015 01: +0,6.668,252
185,Mar 22 2015 01: +0,6.782,201
186,Mar 23 2015 01: +0,6.751,154
187,Mar 24 2015 01: +0,6.627,137
188,Mar 25 2015 01: +0,6.663,155
189,Mar 26 2015 01: +0,6.515,129
190,Mar 27 2015 01: +0,6.449,176
191,Mar 28 2015 01: +0,6.797,242
192,Mar 29 2015 01: +0,6.694,217
193,Mar 30 2015 01: +0,6.693,183
194,Mar 31 2015 01: +0,6.697,170
195,Apr 01 2015 01: +0,6.692,180
196,Apr 02 2015 01: +0,6.856,212
197,Apr 03 2015 01: +0,7.048,209
198,Apr 04 2015 01: +0,6.644,289
199,Apr 05 2015 01: +0,7.2,293
200,Apr 06 2015 01: +0,7.333,235
201,Apr 07 2015 01: +0,7.349,212
202,Apr 08 2015 01: +0,7.067,193
203,Apr 09 2015 01: +0,6.863,185
204,Apr 10 2015 01: +0,6.777,183
205,Apr 11 2015 01: +0,6.865,253
206,Apr 12 2015 01: +0,6.777,219
207,Apr 13 2015 01: +0,6.627,211
208,Apr 14 2015 01: +0,6.682,154
209,Apr 15 2015 01: +0,6.683,151
210,Apr 16 2015 01: +0,6.436,174
211,Apr 17 2015 01: +0,6.191,190
212,Apr 18 2015 01: +0,6.48,251
213,Apr 19 2015 01: +0,6.411,226
214,Apr 20 2015 01: +0,6.318,181
215,Apr 21 2015 01: +0,6.109,149
216,Apr 22 2015 01: +0,6.138,162
217,Apr 23 2015 01: +0,5.896,169
218,Apr 24 2015 01: +0,6.095,194
219,Apr 25 2015 01: +0,6.43,266
220,Apr 26 2015 01: +0,6.342,232
221,Apr 27 2015 01: +0,6.3,161
222,Apr 28 2015 01: +0,6.134,142
223,Apr 29 2015 01: +0,6.161,152
224,Apr 30 2015 01: +0,6.315,167
225,May 01 2015 01: +0,5.601,213
226,May 02 2015 01: +0,6.207,248
227,May 03 2015 01: +0,6.24,235
228,May 04 2015 01: +0,6.027,180
229,May 05 2015 01: +0,6.027,168
230,May 06 2015 01: +0,6.013,150
231,May 07 2015 01: +0,6.142,157
232,May 08 2015 01: +0,6.008,209
233,May 09 2015 01: +0,6.017,267
234,May 10 2015 01: +0,6.051,205
235,May 11 2015 01: +0,5.999,163
236,May 12 2015 01: +0,5.881,157
237,May 13 2015 01: +0,6.084,150
238,May 14 2015 01: +0,6.248,164
239,May 15 2015 01: +0,5.908,198
240,May 16 2015 01: +0,6.228,230
241,May 17 2015 01: +0,6.091,220
242,May 18 2015 01: +0,6.317,170
243,May 19 2015 01: +0,6.469,156
244,May 20 2015 01: +0,6.376,145
245,May 21 2015 01: +0,6.275,150
246,May 22 2015 01: +0,6.113,199
247,May 23 2015 01: +0,6.097,239
248,May 24 2015 01: +0,5.942,204
249,May 25 2015 01: +0,6.284,196
250,May 26 2015 01: +0,6.172,178
251,May 27 2015 01: +0,5.473,224
252,May 28 2015 01: +0,5.589,169
253,May 29 2015 01: +0,5.484,215
254,May 30 2015 01: +0,6.019,252
255,May 31 2015 01: +0,5.683,252
256,Jun 01 2015 01: +0,5.939,208
257,Jun 02 2015 01: +0,5.947,174
258,Jun 03 2015 01: +0,5.793,180
259,Jun 04 2015 01: +0,5.793,185
260,Jun 05 2015 01: +0,5.529,215
261,Jun 06 2015 01: +0,5.661,237
262,Jun 07 2015 01: +0,5.641,241
263,Jun 08 2015 01: +0,5.699,202
264,Jun 09 2015 01: +0,5.918,205
265,Jun 10 2015 01: +0,5.786,208
266,Jun 11 2015 01: +0,5.396,232
267,Jun 12 2015 01: +0,4.906,324
268,Jun 13 2015 01: +0,4.866,327
269,Jun 14 2015 01: +0,4.755,313
270,Jun 15 2015 01: +0,4.908,256
271,Jun 16 2015 01: +0,4.996,238
272,Jun 17 2015 01: +0,4.866,237
273,Jun 18 2015 01: +0,4.945,208
274,Jun 19 2015 01: +0,4.913,259
275,Jun 20 2015 01: +0,4.866,308
276,Jun 21 2015 01: +0,4.594,260
277,Jun 22 2015 01: +0,4.618,235
278,Jun 23 2015 01: +0,5.264,186
279,Jun 24 2015 01: +0,5.416,195
280,Jun 25 2015 01: +0,5.582,195
281,Jun 26 2015 01: +0,5.585,231
282,Jun 27 2015 01: +0,5.592,216
283,Jun 28 2015 01: +0,5.608,219
284,Jun 29 2015 01: +0,5.707,204
285,Jun 30 2015 01: +0,5.825,191
286,Jul 01 2015 01: +0,5.887,214
287,Jul 02 2015 01: +0,5.766,252
288,Jul 03 2015 01: +0,5.331,441
289,Jul 04 2015 01: +0,5.765,472
290,Jul 05 2015 01: +0,6.034,400
291,Jul 06 2015 01: +0,6.236,440
292,Jul 07 2015 01: +0,6.437,349
293,Jul 08 2015 01: +0,6.227,330
294,Jul 09 2015 01: +0,6.462,364
295,Jul 10 2015 01: +0,6.603,320
296,Jul 11 2015 01: +0,6.644,364
297,Jul 12 2015 01: +0,6.418,299
298,Jul 13 2015 01: +0,6.474,295
299,Jul 14 2015 01: +0,6.664,257
300,Jul 15 2015 01: +0,6.68,245
301,Jul 16 2015 01: +0,6.471,266
302,Jul 17 2015 01: +0,6.757,310
303,Jul 18 2015 01: +0,6.662,287
304,Jul 19 2015 01: +0,6.593,263
305,Jul 20 2015 01: +0,6.593,243
306,Jul 21 2015 01: +0,6.531,235
307,Jul 22 2015 01: +0,6.497,212
308,Jul 23 2015 01: +0,6.576,282
309,Jul 24 2015 01: +0,6.629,251
310,Jul 25 2015 01: +0,6.538,261
311,Jul 26 2015 01: +0,6.646,226
312,Jul 27 2015 01: +0,6.704,243
313,Jul 28 2015 01: +0,6.592,274
314,Jul 29 2015 01: +0,6.583,213
315,Jul 30 2015 01: +0,6.414,231
